sku,offer_id,family,title,product_url,quality_score,quality_max,missing_fields
"1664","shopify_ZZ_15061635924336_53472861651312","boxes","16x6x4 ECT-32 Kraft Corrugated Boxes - Easy Pack Long Design, 25 Bundle","https://packrift.com/products/16x6x4-ect-32-kraft-corrugated-boxes-easy-pack-long-design-bundle-of-25","10","10",""
"1666","shopify_ZZ_15061635989872_53472861716848","boxes","16x6x6 ECT-32 Kraft Corrugated Boxes - Long Format Shipping, 25 Bundle","https://packrift.com/products/16x6x6-ect-32-kraft-corrugated-boxes-long-format-shipping-bundle-of-25","10","10",""
"1686","shopify_ZZ_15061628977520_53472841466224","boxes","16x8x6 ECT-32 Kraft Corrugated Boxes - Long Format, 25 Bundle","https://packrift.com/products/16x8x6-ect-32-kraft-corrugated-boxes-long-format-bundle-of-25","10","10",""
"1688","shopify_ZZ_15061629010288_53472841498992","boxes","16x8x8 ECT-32 Kraft Corrugated Long Boxes - Easy Pack Design, 25 Bundle","https://packrift.com/products/16x8x8-ect-32-kraft-corrugated-long-boxes-easy-pack-design-bundle-of-25","10","10",""
"1693","shopify_ZZ_15061623570800_53472831668592","boxes","16x9x3"" ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 25 Bundle","https://packrift.com/products/16x9x3-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-25","10","10",""
"1844","shopify_ZZ_15061634187632_53472859718000","boxes","18x4x4 ECT-32 Kraft Corrugated Long Boxes - Easy Pack, 25 Bundle","https://packrift.com/products/18x4x4-ect-32-kraft-corrugated-long-boxes-easy-pack-bundle-of-25","10","10",""
"1884","shopify_ZZ_15061621309808_53472829047152","boxes","18x8x4"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/18x8x4-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","9","10","pack_count_signal"
"1888","shopify_ZZ_15061621637488_53472829407600","boxes","18x8x8"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/18x8x8-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","10","10",""
"1964","shopify_ZZ_15061623734640_53472831832432","boxes","19x6x4 ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 25 Bundle","https://packrift.com/products/19x6x4-ect-32-kraft-corrugated-boxes-ai-easy-pack-long-format-bundle-of-25","10","10",""
"201010","shopify_ZZ_15061274263920_53450659070320","boxes","20x10x10 ECT-32 Kraft Corrugated Long Boxes - 25 Bundle","https://packrift.com/products/20x10x10-ect-32-kraft-corrugated-long-boxes-25-bundle","10","10",""
"20108","shopify_ZZ_15061274198384_53450650878320","boxes","20x10x8 ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 20 Bundle","https://packrift.com/products/20x10x8-ect-32-kraft-corrugated-boxes-ai-easy-pack-long-format-bundle-of-20","10","10",""
"201212","shopify_ZZ_15061267808624_53450056401264","boxes","20x12x12 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 20 Bundle","https://packrift.com/products/20x12x12-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-20","10","10",""
"2086","shopify_ZZ_15061247656304_53448506179952","boxes","20x8x6 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25-Pack","https://packrift.com/products/20x8x6-ect-32-kraft-corrugated-boxes-long-item-shipping-25-pack","10","10",""
"2088","shopify_ZZ_15061282750832_53451303354736","boxes","20x8x8 ECT-32 Kraft Corrugated Long Boxes - Easy Pack Design, 25 Bundle","https://packrift.com/products/20x8x8-ect-32-kraft-corrugated-long-boxes-easy-pack-design-bundle-of-25","9","10","pack_count_signal"
"241010","shopify_ZZ_15061262958960_53449723609456","boxes","24x10x10 ECT-32 Kraft Corrugated Boxes - Long Format, 25 Bundle","https://packrift.com/products/24x10x10-ect-32-kraft-corrugated-boxes-long-format-bundle-of-25","10","10",""
"24108","shopify_ZZ_15061262926192_53449723576688","boxes","24x10x8 ECT-32 Kraft Corrugated Long Boxes - Easy Pack Design, 25 Bundle","https://packrift.com/products/24x10x8-ect-32-kraft-corrugated-long-boxes-easy-pack-design-bundle-of-25","10","10",""
"241212","shopify_ZZ_15061253521776_53449051603312","boxes","24x12x12 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 20 Bundle","https://packrift.com/products/24x12x12-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-20","10","10",""
"2464","shopify_ZZ_15061274329456_53450659135856","boxes","24x6x4"" ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 25 Bundle","https://packrift.com/products/24x6x4-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-25","10","10",""
"2466","shopify_ZZ_15061276852592_53450897490288","boxes","24x6x6 ECT-32 Kraft Corrugated Boxes - Long Opening Design, 25 Bundle","https://packrift.com/products/24x6x6-ect-32-kraft-corrugated-boxes-long-opening-design-bundle-of-25","10","10",""
"2486","shopify_ZZ_15061268529520_53450122101104","boxes","24x8x6"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/24x8x6-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","10","10",""
"2488","shopify_ZZ_15061268627824_53450130719088","boxes","24x8x8 ECT-32 Kraft Corrugated Boxes - Easy Pack Long Format, 25 Bundle","https://packrift.com/products/24x8x8-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-25","10","10",""
"261010","shopify_ZZ_15061256896880_53449388523888","boxes","26x10x10 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25-Pack","https://packrift.com/products/26x10x10-ect-32-kraft-corrugated-boxes-long-item-shipping-25-pack","10","10",""
"261212","shopify_ZZ_15061247394160_53448481177968","boxes","26x12x12 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 20 Bundle","https://packrift.com/products/26x12x12-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-20","10","10",""
"281010","shopify_ZZ_15061247525232_53448497594736","boxes","28x10x10 ECT-32 Kraft Corrugated Long Boxes - 25 Bundle","https://packrift.com/products/28x10x10-ect-32-kraft-corrugated-long-boxes-bundle-of-25","10","10",""
"281212","shopify_ZZ_15061246148976_53448479244656","boxes","28x12x12 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 20 Bundle","https://packrift.com/products/28x12x12-ect-32-kraft-corrugated-boxes-long-side-opening-bundle-of-20","10","10",""
"301010","shopify_ZZ_15061246214512_53448479310192","boxes","30x10x10"" ECT-32 Kraft Corrugated Boxes - Easy Pack Long Format, 20 Bundle","https://packrift.com/products/30x10x10-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-20","10","10",""
"301212","shopify_ZZ_15061238317424_53448102084976","boxes","30x12x12 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 15 Bundle","https://packrift.com/products/30x12x12-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-15","10","10",""
"32106","shopify_ZZ_15061236023664_53447880278384","boxes","32x10x6.5"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 20 Bundle","https://packrift.com/products/32x10x6-5-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-20","10","10",""
"321212","shopify_ZZ_15061233434992_53447617413488","boxes","32x12x12 ECT-32 Kraft Corrugated Long Boxes - Easy Pack, 20ct Bundle","https://packrift.com/products/32x12x12-ect-32-kraft-corrugated-long-boxes-easy-pack-20ct-bundle","10","10",""
"3266","shopify_ZZ_15061249753456_53448704098672","boxes","32x6x6 ECT-32 Kraft Long Corrugated Boxes - Easy Pack, 25 Bundle","https://packrift.com/products/32x6x6-ect-32-kraft-long-corrugated-boxes-easy-pack-bundle-of-25","10","10",""
"34106","shopify_ZZ_15061233500528_53447625605488","boxes","34x10x6 ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 10 Bundle","https://packrift.com/products/34x10x6-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-10","10","10",""
"36106","shopify_ZZ_15061225111920_53447228883312","boxes","36x10x6"" ECT-32 Kraft Corrugated Boxes - Long Format Shipping, 25 Bundle","https://packrift.com/products/36x10x6-ect-32-kraft-corrugated-boxes-long-format-shipping-bundle-of-25","9","10","details_3_plus"
"361212","shopify_ZZ_15061220884848_53447132250480","boxes","36x12x12 ECT-32 Kraft Corrugated Boxes - Long Format Shipping, 15-Pack","https://packrift.com/products/36x12x12-ect-32-kraft-corrugated-boxes-long-format-shipping-15-pack","9","10","details_3_plus"
"3666","shopify_ZZ_15061238448496_53448118468976","boxes","36x6x6 ECT-32 Kraft Corrugated Boxes - Long Format Shipping, 25 Bundle","https://packrift.com/products/36x6x6-ect-32-kraft-corrugated-boxes-long-format-shipping-bundle-of-25","10","10",""
"3688","shopify_ZZ_15061233697136_53447650181488","boxes","36x8x8 ECT-32 Kraft Corrugated Boxes - Easy-Pack Long Format, 25 Bundle","https://packrift.com/products/36x8x8-ect-32-kraft-corrugated-boxes-easy-pack-long-format-bundle-of-25","10","10",""
"441212","shopify_ZZ_15061198799216_53446006374768","boxes","44x12x12 ECT-32 Kraft Corrugated Long Boxes - Easy-Pack Design, 15 Bundle","https://packrift.com/products/44x12x12-ect-32-kraft-corrugated-long-boxes-easy-pack-design-bundle-of-15","9","10","details_3_plus"
"481212","shopify_ZZ_15061193884016_53445802197360","boxes","48x12x12"" ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 10 Bundle","https://packrift.com/products/48x12x12-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-10","9","10","details_3_plus"
"481616","shopify_ZZ_15061187920240_53445442568560","boxes","48x16x16 ECT-32 Kraft Corrugated Boxes - Long Side Opening, 10 Bundle","https://packrift.com/products/48x16x16-ect-32-kraft-corrugated-boxes-long-side-opening-bundle-of-10","9","10","details_3_plus"
"4888","shopify_ZZ_15061199913328_53446008471920","boxes","48x8x8 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 20 Bundle","https://packrift.com/products/48x8x8-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-20","9","10","details_3_plus"
"501212","shopify_ZZ_15061188837744_53445517574512","boxes","50x12x12"" ECT-32 Kraft Corrugated Long Boxes - 10 Bundle","https://packrift.com/products/50x12x12-ect-32-kraft-corrugated-long-boxes-bundle-of-10","9","10","details_3_plus"
"633","shopify_ZZ_15061655880048_53472907297136","boxes","6x3x3 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/6x3x3-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","10","10",""
"943","shopify_ZZ_15061653848432_53472893698416","boxes","9x4x3 ECT-32 Kraft Corrugated Boxes - Long Item Shipping, 25 Bundle","https://packrift.com/products/9x4x3-ect-32-kraft-corrugated-boxes-long-item-shipping-bundle-of-25","10","10",""
"MDMI1","shopify_ZZ_15061677539696_53473009762672","mailers","10 5/16 x 12 11/16"" ECT-32-B Corrugated DVD Literature Insert - 50 Pack","https://packrift.com/products/10-5-16-x-12-11-16-ect-32-b-corrugated-dvd-literature-insert-50-pack","10","10",""
"ML1084","shopify_ZZ_15062431891824_53475965895024","mailers","10.25 x 8.25 x 4"" White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/10-25-x-8-25-x-4-white-corrugated-literature-mailers-50-pack","10","10",""
"MLRCDI","shopify_ZZ_15061131493744_53442270691696","mailers","10.25x12.6875"" White Corrugated CD Literature Mailer Inserts - 50 Pack","https://packrift.com/products/10-25x12-6875-white-corrugated-cd-literature-mailer-inserts-50-pack","10","10",""
"MFL10102K","shopify_ZZ_15061666824560_53472988922224","mailers","10x10x2 Kraft Deluxe Literature Mailer - Crush Resistant, 50/Bundle","https://packrift.com/products/10x10x2-kraft-deluxe-literature-mailer-crush-resistant-50-bundle","10","10",""
"MFL10102","shopify_ZZ_15061669511536_53472992690544","mailers","10x10x2 White Corrugated Literature Mailers - Crush Resistant, 50 Bundle","https://packrift.com/products/10x10x2-white-corrugated-literature-mailers-crush-resistant-bundle-of-50","10","10",""
"M10102","shopify_ZZ_15062431629680_53475965108592","mailers","10x10x2 White Corrugated Literature Mailers - Self-Seal, 50-Pack","https://packrift.com/products/10x10x2-white-corrugated-literature-mailers-self-seal-50-pack","10","10",""
"MFL10103K","shopify_ZZ_15061666857328_53472988954992","mailers","10x10x3 Kraft Corrugated Literature Mailer - Crush Resistant, 50-Pack","https://packrift.com/products/10x10x3-kraft-corrugated-literature-mailer-crush-resistant-50-pack","10","10",""
"MFL10103","shopify_ZZ_15061669609840_53472992788848","mailers","10x10x3 White Corrugated Literature Mailer - Crush Resistant, 50 Bundle","https://packrift.com/products/10x10x3-white-corrugated-literature-mailer-crush-resistant-bundle-of-50","10","10",""
"ML10103","shopify_ZZ_15062431662448_53475965141360","mailers","10x10x3 White Corrugated Literature Mailers - Crush Resistant, 50-Pack","https://packrift.com/products/10x10x3-white-corrugated-literature-mailers-crush-resistant-50-pack","10","10",""
"MFL10104","shopify_ZZ_15061669642608_53472992821616","mailers","10x10x4 White Deluxe Literature Mailers ECT-32-B Corrugated - 50 Pack","https://packrift.com/products/10x10x4-white-deluxe-literature-mailers-ect-32-b-corrugated-50-pack","10","10",""
"MFL10104K","shopify_ZZ_15061666890096_53472988987760","mailers","10x10x4"" Kraft Corrugated Literature Mailer - Crush Resistant, 50 Bundle","https://packrift.com/products/10x10x4-kraft-corrugated-literature-mailer-crush-resistant-bundle-of-50","10","10",""
"MFL10105K","shopify_ZZ_15061666955632_53472989053296","mailers","10x10x5 Kraft Deluxe Literature Mailer - Crush Resistant, 50 Bundle","https://packrift.com/products/10x10x5-kraft-deluxe-literature-mailer-crush-resistant-bundle-of-50","10","10",""
"MFL10105","shopify_ZZ_15061669740912_53472992919920","mailers","10x10x5 White Corrugated Literature Mailers - Crush-Proof, 50 Bundle","https://packrift.com/products/10x10x5-white-corrugated-literature-mailers-crush-proof-bundle-of-50","10","10",""
"ML1043","shopify_ZZ_15062431465840_53475964944752","mailers","10x4x3 White Literature Mailers, ECT-32-B Corrugated, 50-Count Bundle","https://packrift.com/products/10x4x3-white-literature-mailers-ect-32-b-corrugated-50-count-bundle","10","10",""
"MFL1044K","shopify_ZZ_15061666660720_53472981942640","mailers","10x4x4 Kraft Corrugated Literature Mailer - Crush Resistant, 50 Pack","https://packrift.com/products/10x4x4-kraft-corrugated-literature-mailer-crush-resistant-50-pack","10","10",""
"MFL1044","shopify_ZZ_15061669478768_53472992526704","mailers","10x4x4 White Deluxe Literature Mailer ECT-32-B Corrugated - 50 Pack","https://packrift.com/products/10x4x4-white-deluxe-literature-mailer-ect-32-b-corrugated-50-pack","10","10",""
"MFL1081K","shopify_ZZ_15061666726256_53472982008176","mailers","10x8x1.5"" Kraft Corrugated Literature Mailer - Crush-Resistant, 50-Pack","https://packrift.com/products/10x8x1-5-kraft-corrugated-literature-mailer-crush-resistant-50-pack","10","10",""
"ML1092","shopify_ZZ_15062431531376_53475965010288","mailers","10x9x2 White Literature Mailers ECT-32 Corrugated - 50-Pack","https://packrift.com/products/10x9x2-white-literature-mailers-ect-32-corrugated-50-pack","10","10",""
"ML1093","shopify_ZZ_15062431564144_53475965043056","mailers","10x9x3 White Corrugated Literature Mailers - Professional Crush-Resistant, 50-Pack","https://packrift.com/products/10x9x3-white-corrugated-literature-mailers-professional-crush-resistant-50-pack","10","10",""
"ML1094","shopify_ZZ_15062431596912_53475965075824","mailers","10x9x4 White Corrugated Literature Mailer - Professional Presentation, 50 Bundle","https://packrift.com/products/10x9x4-white-corrugated-literature-mailer-professional-presentation-bundle-of-50","10","10",""
"ML1181","shopify_ZZ_15062432088432_53475966091632","mailers","11 1/8 x 8 3/4 x 1"" White Literature Mailers - ECT-32-B Corrugated, 50-Pack","https://packrift.com/products/11-1-8-x-8-3-4-x-1-white-literature-mailers-ect-32-b-corrugated-50-pack","10","10",""
"MFL1182K","shopify_ZZ_15061667021168_53472989118832","mailers","11 1/8 x 8 3/4 x 2"" Kraft Deluxe Literature Mailer - Crush Resistant, 50/Bundle","https://packrift.com/products/11-1-8-x-8-3-4-x-2-kraft-deluxe-literature-mailer-crush-resistant-50-bundle","10","10",""
"DLM1182","shopify_ZZ_15061677638000_53473009893744","mailers","11 1/8 x 8 3/4 x 2"" White Corrugated DVD Literature Mailer Kit - Self-Seal, 50-Pack","https://packrift.com/products/11-1-8-x-8-3-4-x-2-white-corrugated-dvd-literature-mailer-kit-self-seal-50-pack","10","10",""
"M1182","shopify_ZZ_15062432121200_53475966124400","mailers","11 1/8 x 8 3/4 x 2"" White Corrugated Literature Mailers - ECT-32-B, 50-Pack","https://packrift.com/products/11-1-8-x-8-3-4-x-2-white-corrugated-literature-mailers-ect-32-b-50-pack","10","10",""
"MFL1183K","shopify_ZZ_15061667053936_53472989151600","mailers","11 1/8 x 8 3/4 x 3"" Kraft Corrugated Literature Mailer - 50 Pack","https://packrift.com/products/11-1-8-x-8-3-4-x-3-kraft-corrugated-literature-mailer-50-pack","10","10",""
"M1183","shopify_ZZ_15062432219504_53475966222704","mailers","11 1/8 x 8 3/4 x 3"" White Literature Mailers - 50 Pack","https://packrift.com/products/11-1-8-x-8-3-4-x-3-white-literature-mailers-50-pack","10","10",""
"M1184K","shopify_ZZ_15061971698032_53474221425008","mailers","11 1/8 x 8 3/4 x 4"" Kraft Literature Mailers - Self-Seal, 50 Bundle","https://packrift.com/products/11-1-8-x-8-3-4-x-4-kraft-literature-mailers-self-seal-bundle-of-50","10","10",""
"M1185K","shopify_ZZ_15061971763568_53474221654384","mailers","11 1/8 x 8 3/4 x 5"" Kraft Literature Mailer - Self-Seal, ECT-32-B, 50 Bundle","https://packrift.com/products/11-1-8-x-8-3-4-x-5-kraft-literature-mailer-self-seal-ect-32-b-bundle-of-50","10","10",""
"M1186K","shopify_ZZ_15061971796336_53474221687152","mailers","11 1/8 x 8 3/4 x 6 Kraft Literature Mailers ECT-32 Corrugated - 50/Bundle","https://packrift.com/products/11-1-8-x-8-3-4-x-6-kraft-literature-mailers-ect-32-corrugated-50-bundle","10","10",""
"MFL1182","shopify_ZZ_15061669806448_53472992985456","mailers","11 1/8"" x 8 3/4"" x 2"" White ECT-32-B Deluxe Literature Mailers - 50/Bundle","https://packrift.com/products/11-1-8-x-8-3-4-x-2-white-ect-32-b-deluxe-literature-mailers-50-bundle","10","10",""
"CDLM1182","shopify_ZZ_15061131526512_53442270724464","mailers","11 1/8x8 3/4x2 White Corrugated CD Literature Mailers - 50 Bundle","https://packrift.com/products/11-1-8x8-3-4x2-white-corrugated-cd-literature-mailers-bundle-of-50","10","10",""
"MFL1183","shopify_ZZ_15061669839216_53472993280368","mailers","11 1/8x8 3/4x3 White Corrugated Literature Mailers - Self-Seal, 50 Bundle","https://packrift.com/products/11-1-8x8-3-4x3-white-corrugated-literature-mailers-self-seal-bundle-of-50","10","10",""
"MFL1184K","shopify_ZZ_15061667086704_53472989217136","mailers","11 1/8x8 3/4x4 Kraft Deluxe Literature Mailer - Crush Resistant, 50/Bundle","https://packrift.com/products/11-1-8x8-3-4x4-kraft-deluxe-literature-mailer-crush-resistant-50-bundle","10","10",""
"MFL1184","shopify_ZZ_15061669871984_53472993345904","mailers","11 1/8x8 3/4x4 White Corrugated Literature Mailers - Self-Seal, 50/Bundle","https://packrift.com/products/11-1-8x8-3-4x4-white-corrugated-literature-mailers-self-seal-50-bundle","10","10",""
"MFL1185","shopify_ZZ_15061669904752_53472993378672","mailers","11 1/8x8 3/4x5 White Deluxe Literature Mailer ECT-32-B Corrugated - 50 Bundle","https://packrift.com/products/11-1-8x8-3-4x5-white-deluxe-literature-mailer-ect-32-b-corrugated-bundle-of-50","10","10",""
"MFL1185K","shopify_ZZ_15061667185008_53472989315440","mailers","11 1/8x8 3/4x5"" Kraft Literature Mailer - Crush Resistant, 50/Bundle","https://packrift.com/products/11-1-8x8-3-4x5-kraft-literature-mailer-crush-resistant-50-bundle","10","10",""
"M11113","shopify_ZZ_15062432350576_53475966353776","mailers","11.5x11.5x3.75"" White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/11-5x11-5x3-75-white-corrugated-literature-mailers-50-pack","10","10",""
"MFL3RBK","shopify_ZZ_15061667250544_53472989512048","mailers","11.75x10.75x2.25 Kraft Deluxe Literature Mailers - Crush-Resistant, 50 Bundle","https://packrift.com/products/11-75x10-75x2-25-kraft-deluxe-literature-mailers-crush-resistant-bundle-of-50","10","10",""
"M3RB","shopify_ZZ_15062432383344_53475966386544","mailers","11.75x10.75x2.25 White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/11-75x10-75x2-25-white-corrugated-literature-mailers-50-pack","10","10",""
"MFL3RB","shopify_ZZ_15061669970288_53472993444208","mailers","11.75x10.75x2.25"" White Deluxe Literature Mailer - Self-Seal, 50-Box Bundle","https://packrift.com/products/11-75x10-75x2-25-white-deluxe-literature-mailer-self-seal-50-box-bundle","9","10","pack_count_signal"
"M11104","shopify_ZZ_15062432416112_53475966419312","mailers","11.75x10.75x4 White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/11-75x10-75x4-white-corrugated-literature-mailers-50-pack","10","10",""
"ML11112","shopify_ZZ_15062432022896_53475966026096","mailers","11x11x2 White Corrugated Literature Mailers - Professional Protection, 50-Pack","https://packrift.com/products/11x11x2-white-corrugated-literature-mailers-professional-protection-50-pack","10","10",""
"ML11114","shopify_ZZ_15062432055664_53475966058864","mailers","11x11x4 White Corrugated Literature Mailer - Self-Seal, 25 Pack","https://packrift.com/products/11x11x4-white-corrugated-literature-mailer-self-seal-25-pack","10","10",""
"M1162K","shopify_ZZ_15061971566960_53474221293936","mailers","11x6.5x2.75 Kraft Literature Mailer - Self-Seal, ECT-32 Corrugated, 50/Bundle","https://packrift.com/products/11x6-5x2-75-kraft-literature-mailer-self-seal-ect-32-corrugated-50-bundle","10","10",""
"ML1291R","shopify_ZZ_15062433202544_53475969171824","mailers","12 1/8 x 9 1/4 x 1 1/4 White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-1-1-4-white-corrugated-literature-mailers-50-pack","10","10",""
"MFL1292","shopify_ZZ_15061670429040_53472994230640","mailers","12 1/8 x 9 1/4 x 2"" White Deluxe Literature Mailers - Self-Seal, 50-Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-2-white-deluxe-literature-mailers-self-seal-50-pack","10","10",""
"M1293","shopify_ZZ_15062433530224_53475970056560","mailers","12 1/8 x 9 1/4 x 3 White Corrugated Literature Mailers - 50/Bundle","https://packrift.com/products/12-1-8-x-9-1-4-x-3-white-corrugated-literature-mailers-50-bundle","10","10",""
"MFL1293K","shopify_ZZ_15061667676528_53472989970800","mailers","12 1/8 x 9 1/4 x 3"" Kraft Corrugated Literature Mailers - Crush Resistant, 50 Bundle","https://packrift.com/products/12-1-8-x-9-1-4-x-3-kraft-corrugated-literature-mailers-crush-resistant-bundle-of-50","10","10",""
"M1293K","shopify_ZZ_15061972255088_53474222178672","mailers","12 1/8 x 9 1/4 x 3"" Kraft Literature Mailers - 50-Count Bundle","https://packrift.com/products/12-1-8-x-9-1-4-x-3-kraft-literature-mailers-50-count-bundle","10","10",""
"MFL1293","shopify_ZZ_15061670494576_53472994328944","mailers","12 1/8 x 9 1/4 x 3"" White Deluxe Literature Mailers - Self-Seal, 50-Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-3-white-deluxe-literature-mailers-self-seal-50-pack","10","10",""
"M1294K","shopify_ZZ_15061972320624_53474222309744","mailers","12 1/8 x 9 1/4 x 4"" Kraft Literature Mailers - Self-Seal, 50/Bundle","https://packrift.com/products/12-1-8-x-9-1-4-x-4-kraft-literature-mailers-self-seal-50-bundle","10","10",""
"M1294","shopify_ZZ_15062433726832_53475970613616","mailers","12 1/8 x 9 1/4 x 4"" White Corrugated Literature Mailers - Self-Seal, 50 Bundle","https://packrift.com/products/12-1-8-x-9-1-4-x-4-white-corrugated-literature-mailers-self-seal-bundle-of-50","10","10",""
"ML1296","shopify_ZZ_15062433825136_53475970711920","mailers","12 1/8 x 9 1/4 x 6 1/2"" White Corrugated Literature Mailers - 50 Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-6-1-2-white-corrugated-literature-mailers-50-pack","10","10",""
"MFL1296K","shopify_ZZ_15061667348848_53472989643120","mailers","12 1/8 x 9 1/4 x 6"" Kraft Deluxe Literature Mailer - Crush Resistant, 50-Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-6-kraft-deluxe-literature-mailer-crush-resistant-50-pack","10","10",""
"MFL1294K","shopify_ZZ_15061667709296_53472990003568","mailers","12 1/8"" x 9 1/4"" x 4"" Kraft Deluxe Literature Mailer - 50 Pack","https://packrift.com/products/12-1-8-x-9-1-4-x-4-kraft-deluxe-literature-mailer-50-pack","10","10",""
"MFL1294","shopify_ZZ_15061670560112_53472994394480","mailers","12 1/8x9 1/4x4 White Deluxe Literature Mailers - Self-Seal, 50/Bundle","https://packrift.com/products/12-1-8x9-1-4x4-white-deluxe-literature-mailers-self-seal-50-bundle","10","10",""
